New,title,"my lable",owned,Trade,Manufacturer,Part,"Label ID","Alt ID 1","Alt ID 2","Alt ID 3",Type,Family,Sub-Family,sub-family2,sub-family3,Core,CPUID,"Instruction set","IS Ext","Instruction link","Computer architecture",ISA,Microarchitecture,"Designer of Core",Clone,Cores,Pipeline,Multiprocessing,Architecture,"Bus Width","Address Width",Speed,"Bus speed","Bus type","Clock multiplier",FPU,GPU,DSP,"L1 cache","L1 shared","L1 data","L1 instruction","L2 cache","L3 cache","ROM Int","ROM type","RAM Int","RAM Max","RAM type",Package,"Package Size",Socket,Transistors,"Process Size",Technology,"Die Size",Vcc,"Vcc range",Vcore,"Vcc (I/O)","V(I/O) secondary","V(I/O) tertiary","Power min","Power typ","Power max",TDP,"Low power modes",Grade,"Date Introduced",Year,"Initial price",Applications,Features,Tags,Rarity,Description,"Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Photo die","Photo die license",Datasheet,"Reference 1","Reference 2","Reference 3","Reference 4","Reference 5",blank
,,,1,X,AT&T,WE-DSP32-C08-160,,,,,DSP,DSP32,DSP32C,,,,,,,,,,,,,1,,,32,8,3,16MHz,,,,,none,,NA,,,,NA,NA,,,,,,CDIP-40,"52mm x 16mm",DIP,,,,,5V,,,5V,,,,,3W,,,,,,,Telecom,,,6,,,,,,,,,datasheet-ATT-DSP32.pdf,,,,,,
,,"BB, BC",1,x,Auctor,Maple,,,,,SoC,486,,,,,,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,"486 based",1,,,32,,,100MHz,,,,integrated,,,,,,,,,NA,NA,NA,4G,DRAM,PBGA-436,,NA,,,,,,,,,,,,,,,,,,,,"Embedded systems","Cache, DRAM, DMA, IDE, ISA, PCI, PS/2 mouse and keyboard, Floppy controllers, timer, BIOS",,6,Embedded,ic-photo-Auctor--Maple-(486-CPU).png,,,,,,,,,,,,,
,,,1,x,Axis,"ETRAX 100LX",,,,,SoC,ETRAX,"ETRAX 100LX",,,,,,,,RISC,,,,,1,,,32,16/32,,100MHz,,,,,,,8k,,,,none,none,none,NA,none,4G,"SDRAM, EDO DRAM, SRAM",PBGA-256,,NA,,,CMOS,,3.3V,,,,,,,,0.61W,,,,,,,"Embedded systems","PLL, timer, DMA, Ethernet, MMU, serial, DMA, USB, SCSI, EIDE/ATA-2",,,,,,,,,,,datasheet-Axis-ETRAX_100LX.pdf,,,,,,
,,,1,X,Broadcom,BCM5352EKPBG,,,,,MCU,MIPS32,,,,MIPS32,,MIPS32,,,RISC,,,,,1,,,32,,16,200MHz,,,,integrated,none,,16K/8K+256B,,,,none,none,,,,256M,SDRAM,FBGA-336,,NA,,0.18u,CMOS,,,,,,,,,,,,,,,,,"Ethernet router","SDRAM, Flash controller, Encore DSP, PLL, GPIO, JTAG, UART, 5-port switch, 802.11 controller",,0,,ic-photo-Broadcom--BCM5352EKPBG-(MCU).JPG,,,,,,,datasheet-Broadcom--BCM5352EL.pdf,,,,,,
,,,1,X,CMD,G65SC151PEI-1,,,,,MCU,6500,,,,G65SC00,,,,,,,,,,1,,,8,8,16,1MHz,1MHz,,,NA,NA,,NA,NA,NA,NA,NA,NA,2k,,64B,65k,,PLCC-68,"25mm x 25mm",PLCC,,,CMOS,,5V,,,5V,,,,,,,,,,,,,"Dial Pulse, DTMF, 600 baud modem, sin wave generator",,,,ic-photo-CMD--G65SC151PEI-1--(MCU).jpg,,,,,,,datasheet-CMD--G65SC151.pdf,,,,,,
,,,1,X,Conexant,CX82310-14,,,,,MCU,ARM,ARM9,,,ARM940T,,"ARM9, Thumb",,,RISC,ARM,,ARM,,1,,,32,16,12/21,168MHz,,,,integrated,none,,4k/4k,,,,none,none,,EEPROM,,8M,,FPBGA-256,,NA,,,CMOS,,1.8V,,,3.3V,,,,,,,,,,,,Networking,"ADSL/G.lite, ATM, ethernet, USB, PCMCIA/802.11b wireless",,,,ic-photo-Conexant--CX82310-14--(AccessRunner-ARM-MCU).JPG,,,,,,,datasheet-Conexant-CX82310.pdf,,,,,,
NEW,,,1,x,CSG,"6510 CBM",,,,,CPU,6502,,,,,,6502,,,,6502,,MOS,"no, CSG purchased MOS",1,,,8,8,16,1Mhz,,,,none,none,none,none,none,none,none,none,none,none,none,none,,,PDIP-40,,DIP-40,,,HMOS,,5V,"5 +/- 5%",,5V,,,,,0.65W,,,,,,,,,,,,,,,,,,,datasheet-CSG-6510.pdf,,,,,,
,,"Ross board",2,X,Cypress,CY7C601-40,,,,,CPU,SPARC,,,,CY7C601,,,,,RISC,SPARC,,ROSS,No,1,,,32,32,32,40MHz,40MHz,,,ext(CY7C602),none,,"ext 64k",,,,none,none,NA,NA,NA,,,CQFP-208,,NA,1.8M,0.8u,CMOS,,5V,,,,,,,,,,,,1989,1989,,"Servers, workstations",,,,"Cypress Semiconductor introduces the SPARCore series of SPARC CPUs that provide one or two on-board processors and built-in single or multiprocessing functions. The CYM6001K, CYM6002K and CYM6003K make system upgrades as easy as changing daughterboards and loading a multiprocessing operating system. The CYM6001K has one SPARC CPU and works in single-processing environments, the CYM6002K has two on-board SPARC processors, and the CYM6003K has one SPARC processor but includes a multiprocessing cache-controller and memory-management unit for plugging multiple modules into a chassis. The SPARC chip set used in the three processors includes a CY7C601 integer unit, a CY7C602 floating-point unit, ...",ic-photo-Cypress--CY7C601-40-(CQFP-208)-(SPARC-CPU).png,,,,,,,,,,,,,
,,EP,1,X,Cypress,CY7C601-40GC,,,,,CPU,SPARC,,,,CY7C601,,,,,RISC,SPARC,,ROSS,No,1,,,32,32,32,40MHz,40MHz,,,ext(CY7C602),none,,"ext 64k",,,,none,none,NA,NA,NA,,,CPGA-207,,,1.8M,0.8u,CMOS,,,,,,,,,,,,,,1989,1989,,"Servers, workstations",,,,.,ic-photo-Cypress--CY7C601-40GC--(SPARC-CPU).jpg,,,,,,,,,,,,,
,,"Ross board",2,X,Cypress,CY7C602-40,,,,,FPU,SPARC,,,,,,,,,RISC,SPARC,,,No,1,,,,,,40MHz,40MHz,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CQFP-208,,NA,,,,,,,,,,,,,,,,,,,,"Servers, workstations",,,,"Cypress Semiconductor introduces the SPARCore series of SPARC CPUs that provide one or two on-board processors and built-in single or multiprocessing functions. The CYM6001K, CYM6002K and CYM6003K make system upgrades as easy as changing daughterboards and loading a multiprocessing operating system. The CYM6001K has one SPARC CPU and works in single-processing environments, the CYM6002K has two on-board SPARC processors, and the CYM6003K has one SPARC processor but includes a multiprocessing cache-controller and memory-management unit for plugging multiple modules into a chassis. The SPARC chip set used in the three processors includes a CY7C601 integer unit, a CY7C602 floating-point unit, ...",ic-photo-Cypress--CY7C602-40-(CQFP-208)-(SPARC-FPU).png,,,,,,,,,,,,,
,,"Ross board",2,X,Cypress,CY7C605-40,,,,,Cache-controller,SPARC,,,,,,,,,RISC,SPARC,,,No,NA,,,,,,40MHz,40MHz,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CQFP-208,,NA,,,,,,,,,,,,,,,,,,,,"Servers, workstations",,,,"Cypress Semiconductor introduces the SPARCore series of SPARC CPUs that provide one or two on-board processors and built-in single or multiprocessing functions. The CYM6001K, CYM6002K and CYM6003K make system upgrades as easy as changing daughterboards and loading a multiprocessing operating system. The CYM6001K has one SPARC CPU and works in single-processing environments, the CYM6002K has two on-board SPARC processors, and the CYM6003K has one SPARC processor but includes a multiprocessing cache-controller and memory-management unit for plugging multiple modules into a chassis. The SPARC chip set used in the three processors includes a CY7C601 integer unit, a CY7C602 floating-point unit, ...",ic-photo-Cypress--CY7C605-40-(CQFP-208)-(SPARC-Cache-Controller).png,,,,,,,,,,,,,
,,CE,1,1,Cyrix,CX-83D87-33-GP,,,,,FPU,386,,,,,,x87,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,32,32,,33MHz,33MHz,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,PGA,,,,,,,,,,,,,,,,,,,,,,,,,3,FastMath,ic-photo-Cyrix--CX-83D87-33-GP--FasMath--(386-FPU).png,,,,,,,,,,,,,
,,BW,1,X,Cyrix,MII-300GP,,,,,CPU,5x86,,,,,,"X86, MMX",,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Cyrix,,1,,,32,64,32,"300(233MHz real)",66MHz,,,integrated,none,,256b/64k,,,,,none,NA,NA,NA,4G,,CPGA-296,,"Socket 7",6.5M,0.35u,CMOS,,2.9V,,,3.3V,,,,,21.6W,,,,1998,1998,,"Desktop computers","MMU, ",,,.,ic-photo-Cyrix--MII_300GP--(MII-CPU).png,,,,,,,datasheet-Cyrix--MII-Processor.pdf,,,,,,
,,BY,2,1,Cyrix,6x86MX-PR233,,,,,CPU,6x86,,,,6x86MX,,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Cyrix,,1,,,32,64,32,233MHz,66MHz,,,integrated,none,,256b/64k,,,,,none,NA,NA,NA,4G,,CPGA-296,,"Socket 7",6.5M,"0.25u 5L","CMOS 5L",197mm^2,2.9V,,,3.3V,,,,,21.7W,,,,1997,1997,,"Desktop computers",,,2,.,ic-photo-Cyrix--6x86MX-PR233--(6x86MX-CPU).png,,,,,,,datasheet-Cyrix--6x86MX.pdf,,,,,,
,,,1,x,Daewoo,DMC60C32-16,,,,,MCU,MCS-51,8032,,,,,,,,,,,,Yes,1,,,8,,,3.5-16MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,256B,64k,,PDIP-40,"52mm x 16mm",DIP,,,CMOS,,5V,,,5V,,,,,1.5W,,"Idle, Power down",,,,,"Embedded systems","CLK generator, INTC, ON-Circuit Emulation",,,,,,,,,,,datasheet-Daewoo-60C52_32.pdf,,,,,,
,,IC,1,X,DEC,"21064-BB A233","21-40532-03 21064-BB",,,,CPU,Alpha,,,,21064A,,,,,RISC,Alpha,,,No,1,,,64,64/128,64,233MHz,"13.7 to 116.5MHz",,,integrated,none,,16k/16k,,,,ext,,NA,NA,NA,16G,,CPGA-431,,,2.85M,0.5u,CMOS,,3.3V,,,,,,,,,,,,1993,1993,,"Servers, workstations","CLK generator, MMU, Parity and ECC generators and checkers",,,,ic-photo-DEC--21-40532-03-(21064-BB)-(Alpha-AXP).png,,,,,,,datasheet-DEC-Alpha-21064A.pdf,,,,,,
,,,1,x,DEC,F11,57-00000-01,,,,CPU,PDP-11,,,,,,,,,,,,,No,,,,22,,16,3.6MHz,,,,,none,,none,,,,none,none,"138 x 23 bit PLA terms, 414 ROM terms",,,4M,,CDIP-40,"52mm x 16mm",DIP-40,29000,6u,NMOS,,,,,,,,,,,,,,1997,1997,,,,,,,,,,,,,,,http://www.cpu-collection.de/?l0=co&l1=DEC&l2=PDP-11,,,,,
,,,1,X,DEC,J-11,,,,,CPU,PDP-11,,,,"DC335 + D334",,PDP-11,,,,,,,No,1,,,32,32,32,4.5MHz,4.5MHz,,,"ext(J-11 FPA)",none,,none,,,,none,none,,,,64kB,,CDIP-60,,,120k,4u,CMOS,,5V,,,,,,,,,,,,1983,1983,,,,,,,ic-photo-DEC--J-11--(PDP-11-CPU).JPG,,,,,,,datasheet-DEC-DCJ11_Microprocessor_Users_Guide.pdf,,,,,,
,,,1,x,DEC,KEF11-AA,57-00001-01,,,,FPU,PDP-11,,,,,,,,,,,,,No,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,CDIP-40,"52mm x 16mm",DIP,,,,,,,,,,,,,,,,,,,,Microcomputer,,,,,,,,,,,,,http://web.frainresearch.org:8080/projects/pdp-11/dcf11.php,,,,,
,,,1,x,DEC,KTF11-AA,21-15542-01,,,,MMU,PDP-11,,,,,,,,,,,,,No,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,CDIP-40,"52mm x 16mm",DIP,10000,6u,NMOS,,,,,,,,,,1.5W,,,,1979,1979,,Microcomputer,,,,,,,,,,,,,http://simh.trailing-edge.com/semi/f11.html,http://web.frainresearch.org:8080/projects/pdp-11/dcf11.php,,,,
,,,1,x,ELAN,EM78P156ELM,,,,,MCU,Other,,,,,,,,,,,,,,1,,,8,,,20MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,"1k x 13",OTP,48B,,,SOIC-18,"12mm x 10mm",NA,,,CMOS,,2.3-5.5V,,,2.3-5.5V,,,,,20mW,,,,,,,"Embedded systems","Timer, INTC, WDT",,,,,,,,,,,datasheet-ELAN--EM78P156ELM.pdf,,,,,,
NEW,,,1,x,Fairchild,"29F10 DC",,,,,BSP,Am2900,,,,,,,,,,,,,"AMD AM2910",1,,,,,12,,,,,,,,,,,,,,,,,,,CDIP-40,,DIP-40,,,Bipolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,datasheet-Raytheon-29F10.pdf,,,,,,
NEW,,,1,x,Fairchild,3851,,,,,"Program Storage Unit",F8,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,X,Fairchild,3850PC,,,,,CPU,F8,,,,3850,,F8,,,,,,Fairchild,,1,,,8,8,,2MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,64B,,,PDIP-40,"52mm x 16mm",DIP,,,NMOS,,5/12V,,,,,,,,330mW,,,,1977,1977,,,"INTC, POR, CLK generator",,,,ic-photo-Fairchild--3850PC--(F8-CPU).JPG,,,,,,,datasheet-Fairchild-3850.pdf,,,,,,
,,B1,1,X,Freescale,MC68HC000FN16,,,,,CPU,68000,,,,68HC000,,68000,,,CISC,68000,,Motorola,No,1,,,16/32,16,24,16MHz,16MHz,,,none,none,,none,,,,none,none,NA,NA,NA,16M,,PLCC-68,"25mm x 25mm",,,,HCMOS,,5V,,,,,,,,0.26W,,,,,,,"Embedded systems",,,,.,ic-photo-Freescale--MC68HC000FN16--(68000-CPU).png,,,,,,,datasheet-Motorola-MC68000-MC68008-MC68010-MC68HC000-MC68HC001-MC68EC000.pdf,,,,,,
,,,1,x,Freescale,MC68VZ328PV6K85P,,,,,MCU,683xx,DragonBall,,,FLX6800(68EC000),,,,,,,,,,1,,,32,,,33MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,Ext,,none,,"SRAM, DRAM, SDRAM",,,,,,CMOS,,,,,,,,,,,,,,,,,"Embedded systems","CGM, RTC, ICE, INTC, MMU time, PWM, UART, IrDA, SPI, LCD",,0,,,,,,,,,user_manual-Freescale-MC68VZ328UM-DragonBall_VZ.pdf,,,,,,
,,NW,1,X,Freescale,MCF5275CVM166,,,,,MCU,ColdFire,,,,"V2 ColdFire",,,,,,,,Freescale,No,1,,,32,32,24,166MHz,,,,,,,,,,,,,16k,,64k,,,MAPBGA-256,,NA,,,CMOS,,,,,,,,,,,,,,,,,,"Ethernet, INTC, PWM, UART, EPORT, DMA, DDR controller, WDT, USB, QSPI, JTAG, hardware encryption",,0,,ic-photo-Freescale--MCF5275CVM166--(Coldfire-MCU).JPG,,,,,,,datasheet-Freescale-ColdFire-MCF5275.pdf,,,,,,
,,,1,x,Freescale,MC9S08GT1ACE,M9S08GT1ACE,,,,MCU,HC08,HCS08,HCS08-GT,,S08,,"HC08 + BGND instruction",,,,S08,,,no,1,,,8,,,40Mhz?,,,,none,none,none,none,none,none,none,none,none,1KiB?,flash,,,,QFN-48,"7mm x 7mm",NA,,,,,,,,,,,,,,,,,,,,"Logitech keyboard","ADC, SCI, SPI, I2C, KBI",,,,,,,,,,,datasheet-Freescale-MC9S08GT-GB.pdf,,,,,,
,,OI,1,X,Freescale,MC711K4CFUE3,,,,,MCU,HC11,,,,,,,,,,,,Motorola,No,1,,,8,,,3MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,24K,OTP,768B,,,BQFP-80,,NA,,,CMOS,,5V,,,5V,,,,,,,,,,,,,"ADC, SCI, SPI, POR, PWM, WDT",,0,,ic_photo-Freescale--MC711K4CFUE3--(MCU).JPG,,,,,,,datasheet-Motorola-M68HC11K.pdf,,,,,,
,,,1,X,Freescale,MC9S12A256CPVE,,,,,MCU,HCS12,,,,HCS12,,,,,,,,,No,1,,,16,,,50MHz,,,,,,,,,,,,,256K,flash,12K,,,LQFP-112,,NA,,,CMOS,,2.35-5.25V,,,,,,,,,,,,,,,,"CAN, I2C, SCI, SPI, PWM, WDT, ADC",,0,,,,,,,,,datasheet-Motorola-MC9S12DG256CPVE.pdf,,,,,,
,,,1,x,Freescale,MC9S12XA256CAL,,,,,MCU,HCS12,,,,HCS12X,,,,,,,,Motorola,No,1,,,16,,,80MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,256K,flash,16K,,,LQFP-112,,NA,,,CMOS,,"2.35-5.5 V",,,,,,,,,,,,,,,"Embedded systems","ADC, EBI/EMI, I2C, IrDA, LIN, SCI, SPI, LVD, POR, PWM, WDT",,0,,,,,,,,,datasheet-Freescale-MC9S12X.pdf,,,,,,
,,OH,1,X,Freescale,MPC855TCVR50D4,,,,,MCU,PowerQUICC,,,,MPC855T,,,,,,,,Freescale,No,1,,,32,8/16/32,32,50MHz,,,,,,,4k/4k,,,,,,,,,,,PBGA-357,,NA,,,CMOS,,3.3V,,,,,,,,,,,,,,,Networking,"Ethernet, ATM, HDLC, QUICC, QMC",,0,,ic_photo-Freescale--MPC855TCVR50D4--(MCU).JPG,,,,,,,datasheet-Freescale-MPC855T.pdf,,,,,,
,,,1,x,Freescale,MPC8572VJAULE,,,,,MCU,PowerQUICC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,X,Fujitsu,MBL8088-1-P,MBL8088-1,,,,CPU,8088,,,,,,8088,,,,8088,,,"Intel 8088",1,,,16,8,20,10Mhz,10Mhz,,,none,none,none,none,none,none,none,none,none,none,none,none,1M,,PDIP-40,"52mm x 16mm",DIP,,,"Depletion-load NMOS",,5V,"5 +/- 5%",5V,5V,,,,,1.84W,,,Commercial,,,,,,,,,,,,,,,,,https://www.cpu-world.com/CPUs/8088/Fujitsu-MBL8088-1-P%20-%20MBL8088-1%20(plastic).html,,,,,
NEW,,,1,x,Fujitsu,MBL8088-2-P,MBL8088-2,,,,CPU,8088,,,,,,8088,,,,8088,,,"Intel 8088",1,,,16,8,20,8MHz,8MHz,,,none,none,none,none,none,none,none,none,none,none,none,none,1M,,PDIP-40,"52mm x 16mm",DIP,,,"Depletion-load NMOS",,5V,"5 +/- 5%",5V,5V,,,,,1.89W,,,Commercial,,,,,,,,,,,,,,,,,https://www.cpu-world.com/CPUs/8088/Fujitsu-MBL8088-2-P%20-%20MBL8088-2%20%28plastic%29.html,,,,,
,,BZ,1,X,Fujitsu,MBL8042H,,,,,MCU,MCS-41,8042,,,8042,,MCS-41,,,,,,,Yes,1,,,8,8,,12.5MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,2k,,128B,64k,,PDIP-40,"52mm x 16mm",DIP,,,NMOS,,5V,,,,,,,,,,,,1983,1983,,"Embedded systems",,,,"ATI KBD-2",ic-photo-Fujitsu--MBL8042H-(8042-MCU).png,,,,,,,datasheet-Fujitsu--MBL8042H_N.pdf,,,,,,
,,FP,1,X,Fujitsu,MBL8742H,,,,,MCU,MCS-41,8042,,,8742,,MCS-41,,,,,,,Yes,1,,,8,8,,12.5MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,2k,UV-EPROM,128B,64k,,FDIP-40,"52mm x 16mm",DIP,,,NMOS,,5V,,,,,,,,,,,,1983,1983,,"Embedded systems",,,,,ic-photo-Fujitsu--MBL8742H-(8742-MCU).png,,,,,,,datasheet-Fujitsu--MBL8742.pdf,,,,,,
,,FG,1,X,Fujitsu,MB86904-110,,,,,CPU,microSPARC,"microSPARC II",,,"microSPARC II (Swift)",,SPARC-V8,,,RISC,SPARC,,Fujitsu,No,1,,,32,32,32,110MHz,,,,integrated,none,,8k/16k,,,,none,none,NA,NA,NA,256M,,CPGA-321,,,2.3M,0.5u,"CMOS 3L",233mm^2,3.3V,,,,,,,,,,,,1994,1994,,"Servers, workstations",,,,.,ic-photo-Fujitsu--MB86904-110--(Sun-STP1012PGA)-(microSPARC-II)-1.png,,,,,,,,,,,,,
,,FE,1,X,Fujitsu,MB86904-70,,,,,CPU,microSPARC,"microSPARC II",,,"microSPARC II (Swift)",,SPARC-V8,,,RISC,SPARC,,Fujitsu,No,1,,,32,32,32,70MHz,,,,integrated,none,,8k/16k,,,,none,none,NA,NA,NA,256M,,CPGA-321,,,2.3M,0.5u,"CMOS 3L",233mm^2,3.3V,,,,,,,,,,,,1994,1994,,"Servers, workstations",,,,.,ic-photo-Fujitsu--MB86904-70--(Sun-STP1012PGA)-(microSPARC-II)-2.png,,,,,,,,,,,,,
,,EO,1,X,Fujitsu,MB86901A,,,,,CPU,SPARC,SPARC,,,86900,,,,,RISC,SPARC,V7,Fujitsu,No,1,,,32,32,32,20MHz,,,,"ext(Weitek 3170)",none,,"Ext 0-128k",,,,none,none,NA,NA,NA,,,CPGA-179,,,,,CMOS,,5V,,,,,,,,,,,,1988,1988,,"Servers, workstations",,,,.,ic-photo-Fujitsu--MB86901A--(SPARCstation-CPU)-.JPG,,,,,,,,,,,,,
,,ES,1,X,Fujitsu,MB86903-40,,,,,CPU,SPARC,SPARC,,,,,,,,RISC,SPARC,,Fujitsu,No,1,,,32,32,32,40MHz,,,,,none,,,,,,,,NA,NA,NA,,,CPGA-207,,,,,,,5V,,,,,,,,,,,,1987,1987,,"Servers, workstations",,,,"FPU on CPU chip, Sun-4c MMU, 8 hardware contexts, 21 MIPS, 3 MFLOPS",ic-photo-Fujitsu--MB86903-40-(SPARC-CPU).png,,,,,,,,,,,,,
NEW,,,1,x,Fujitsu,MB86932-40,,,,,CPU,SPARClite,"SPARClite 930 series",,,MB86932,,"SPARC V8",,,,SPARC,,,,1,,,32,32,32,40Mhz,,,,,,,,,2k,8k,,,,,,,DRAM,SQFP-208,"31mm x 31mm",NA,,0.8u,CMOS-3L,,5V,"5 +/- 5%",,5V,,,,3.325W,4.38W,,,,,,,"Embedded systems","DRAM controller, CLK, PWG, Timer, DMA, JTAG",,,,,,,,,,,"datasheet-Fujitsu-MB86932.pdf ",,,,,,
NEW,,,1,x,Fujitsu,MB86933H-25,,,,,CPU,SPARClite,"SPARClite 930 series",,,MB86933H,,"SPARC V8",,,,SPARC,,,,1,5,,32,32,28+4,25Mhz,,,,,none,none,,none,none,1k,none,none,none,NA,none,4G,DRAM,PQFP-160,"32mm x 32mm",NA,,0.8u,CMOS-3L,,5V,"5 +/- 5%",,5V,,,,,,,,,,,,"Embedded systems","DRAM controller, CLK, Timer, JTAG, CS, WSG",,,,,,,,,,,datasheet-Fujitsu-MB86933H.pdf,,,,,,
NEW,,,1,x,Fujitsu,MB86936,,,,,CPU,SPARClite,"SPARClite 930 series",,,MB86936,,,,,,SPARC,,,,1,5,,32,32,26+8,50Mhz,,,,integrated,"Video controller",,,,2k,4k,,,,,,4G,DRAM,P-SQFP-208,"31mm x 31mm",NA,,0.5u,CMOS-3L,,5V,"5 +/- 5%",3.3V,5V,,,,,,,,Commercial,,,,"Embedded systems","DRAM controller, CLK, Timer, JTAG, parity generator, DMA, Video controller, CS, WSG",,,,,,,,,,,datasheet-Fujitsu-MB86936.pdf,,,,,,
,,FQ,1,X,"General Instruments",SP0265-AL2,,,,,"Speech processor",,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,DIP,,DIP,,,,,,,,,,,,,,,,,,,,,,,,.,ic-photo-GI--SP0256-AL2-(Speech-Generator).png,,,,,,,,,,,,,
,,,1,x,GPS,P60ARM-BIG,,,,,MCU,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,x,GPS,P60ARMCG,,,,,MCU,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,X,GTE,G65SC02DI-1,,,,,CPU,6500,,,,,,6502,,manual-MOS-MCS650-Programing_Manual-Jan_76.pdf,,,,,Yes,1,,,8,8,16,1MHz,,,,none,none,,none,,,,none,none,NA,NA,NA,,,PDIP-40,"52mm x 16mm",DIP,,,CMOS,,5V,,,5V,,,,,,,,,,,,,,,,,ic-photo-GTE--G65C02D1-1--(6502-CPU).JPG,,,,,,,,,,,,,
,,,1,X,GTE,G65SC02PI-2,,,,,CPU,6500,,,,65SC02,,6502,,manual-MOS-MCS650-Programing_Manual-Jan_76.pdf,,,,,Yes,1,,,8,8,16,2MHz,,,,none,none,,none,,,,none,none,NA,NA,NA,64k,,PDIP-40,"52mm x 16mm",DIP,,,CMOS,,5V,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,X,GTE,XG65SC02P1,,,,,CPU,6500,,,,,,6502,,manual-MOS-MCS650-Programing_Manual-Jan_76.pdf,,,,,Yes,1,,,8,8,16,1MHz,,,,none,none,,none,,,,none,none,NA,NA,NA,,,PDIP-40,"52mm x 16mm",DIP,,,CMOS,,,,,,,,,,,,,,,,,,,,8,,ic-photo-GTE--XG65SC02P1--(6502-CPU).JPG,,,,,,,,,,,,,
,,LB,1,X,Harris,CS80C286-20,,,,,CPU,286,,,,80C286,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,24,20MHz,20MHz,,,"ext (80287)",none,,none,,,,none,none,NA,NA,NA,16M,,PLCC-68,"25mm x 25mm",PLCC,134k,1.5u,CMOS,,5V,,,5V,,,,,,,,,1982,1982,,"Desktop computers",,,,,ic-photo-Harris--CS80C286-20--(286-CPU).png,,,,,,,datasheet-Intersil--80C286.pdf,,,,,,
,,LT,1,X,Hitachi,HD68B09P,,,,,CPU,6809,,,,68B09,,,,,,,,,Yes,1,,,8,8,16,2MHz,2MHz,,,none,none,,none,,,,none,none,NA,NA,NA,,,PDIP-40,"52mm x 16mm",DIP,,,NMOS,,5V,,,,,,,,1W,,,,,,,,,,,.,ic-photo-Hitachi--HD68B09P--(6809-CPU).png,,,,,,,datasheet-Hitachi--HD6809--HD68A09--HD68B09.pdf,,,,,,
,,,1,X,Hitachi,HD68000-8,,,,,CPU,68000,,,,,,68000,,,,68000,,Motorola,Yes,1,,,32,16,,8MHz,8MHz,,,none,none,,NA,,,,NA,NA,NA,NA,NA,16MB,,CDIP-64,"2.45in x 0.8in",DIP,,,NMOS,,5V,,,5V,,,,,1.5W,,,,,,,,,,,,ic-photo-Hitachi--HD68000-8--(68000-CPU).JPG,,,,,,,datasheet-Hitachi-HD68000-HD68HC000.pdf,,,,,,
,,,1,1,Hitachi,HD68450-8,,,,,Support,68000,,,,,,,,,,,,,Yes,NA,,,16,,,8MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CDIP-64,"2.45in x 0.8in",DIP,,,NMOS,,5V,,,,,,,,,,,,,,,,,,,"DMA Controller",ic-photo-Hitachi--HD68450-8--(68000-DMA_Controller).JPG,,,,,,,datasheet-Hitachi-HD68450.pdf,,,,,,
,,,1,X,Hitachi,HD6305Y0B99P,,,,,MCU,630x,,,,HD6305,,6805?,,,,,,,,1,,,8,8,,1MHz,,,,none,none,,NA,,,,NA,NA,7872B,,256B,,,SDIP,,NA,,,CMOS,,3-6V,,,,,,,,,,,,,,,,"CTC, CLK generator, SCI",,,,,,,,,,,datasheet-Hitachi--HD6305Y0--HD63A05Y0--HD63B05Y0.PDF,,,,,,
